```csv
Date,Event Type,"Location Name/Venue","Google Maps List"
10/10/2023,"Meat Up Dinner & Drinks","Horseshoe Inn (Pre-drinks), Undisclosed Restaurant (Dinner)","Horseshoe Inn (N/A). Dinner link: https://maps.app.goo.gl/omSPC5B5cXdBMfFz5?g_st=ic."
23/11/2023,"Meat Up Dinner",Smokestak,"https://maps.app.goo.gl/Cfo4QGXioPPgefaF7. Pre-drinks pub: https://maps.app.goo.gl/NVGWiEiEz4mshh9z5?g_st=iw."
07/03/2024,"Meat Up Dinner & Pre-drinks","Clerkenwell Tavern (Pre-drinks), Quality Chop House (Dinner, Implied booking)","Clerkenwell Tavern (N/A). Quality Chop House link: https://maps.app.goo.gl/RjcY95tqBjngbTWH9?g_st=iw."
09/05/2024,"Non-Meat Up Drinks","The Oxford Market/Nearby Pub","The Oxford Market (N/A)."
27/06/2024,"Meat Up Dinner & Pre-drinks","Queens Larder (Pre-drinks), Swiss Butter (Dinner)","Queens Larder (N/A). Swiss Butter link: https://maps.app.goo.gl/jsPU8iULJ7921ACC7?g_st=iw."
27/07/2024,"BBQ/Pub Crawl (Meat Up on Tour)","Renegade Urban Winery, Exale/Black Cactus BBQ (Dinner)","Renegade Urban Winery (N/A). Black Cactus BBQ is based at Exale."
11/09/2024,"Meat Up Dinner & Pre-drinks","Betsy Trottwood (Pre-drinks), Horseshoe Inn (Pre-drinks), Texas Joes (Dinner)","Betsy Trottwood (N/A). Horseshoe Inn (N/A). Texas Joes (N/A)."
20/02/2025,"Meat Up Dinner & Pre-drinks","Queens Head (Pre-drinks), Blacklock (Soho) (Dinner)","Queens Head (N/A). Blacklock (Soho) (N/A)."
18/03/2025,"Meat Up (Pivoted Dinner) & Pre-drinks","Unnamed Pub, then another location for meat","Pre-drinks pub: https://maps.app.goo.gl/RUmzZwAfztbJ31caA?g_st=com.google.maps.preview.copy."
17/07/2025,"Meat Up Dinner & Pre-drinks","Unnamed Pub (Pre-drinks), Lord Nelson (Dinner)","Pre-drinks pub: https://maps.app.goo.gl/57qjjWK1ZtBvGiXa9?g_st=ipc. Lord Nelson (N/A)."
28/08/2025,"Meat Up Dinner & Pre-drinks","Queen's Head (Pre-drinks), Fowl (Dinner)","Queen's Head: https://maps.app.goo.gl/66FVEPKjy4ZpdA9s7?g_st=ac. Fowl (N/A)."
09/10/2025,"Meat Up Dinner & Pre-drinks","Unnamed Pub (Pre-drinks), Burger and Beyond Soho (Dinner)","Pre-drinks pub: https://maps.app.goo.gl/iZFJPdqzrjx4AW6XA?g_st=ipc. Burger and Beyond Soho (N/A)."
03/12/2025,"Christmas Meat Up Dinner & Pre-drinks","Unnamed Pub (Pre-drinks), Guinea Grill (Dinner)","Pre-drinks pub: https://maps.app.goo.gl/wVvXzxSv6cN6ueCs9?g_st=ipc. Guinea Grill (N/A)."
```
